Item ID,Item_Description,Category,Year_Month_Str,Actual,Baseline_Predicted,Method,GB_Predicted
S32-STLUG2-GRN7,Set Travel Luggage Organizer Style 2 - Set of 7 - Green,Travel,2025-10,3,1.3,SMA(3),3.0
S32-STLUG2-GRN7,Set Travel Luggage Organizer Style 2 - Set of 7 - Green,Travel,2026-01,1,2.0,SMA(3),0.8
S32-STLUG2-WNE7,Set Travel Luggage Organizer Style 2 - Set of 7 - Wine,Travel,2025-10,2,1.0,Naive,1.8
S34-FRNTOL-PINK,Front Pocket Toiletry Organizer - Pink,Organizers,2025-07,1,1.0,Naive,0.9
S34-FRNTOL-PINK,Front Pocket Toiletry Organizer - Pink,Organizers,2025-08,2,1.0,SMA(3),1.8
S34-PRSBT1-BLUE,10ml Perfume Alcohol Spray Bottle - Blue,Beauty & Fashion,2025-08,2,1.0,SMA(3),1.8
S34-PRSBT1-BLUE,10ml Perfume Alcohol Spray Bottle - Blue,Beauty & Fashion,2025-10,1,1.3,SMA(3),0.6
S34-PRSBT1-BLUE,10ml Perfume Alcohol Spray Bottle - Blue,Beauty & Fashion,2025-12,2,1.3,SMA(3),1.9
S34-PRSBT1-PURP,10ml Perfume Alcohol Spray Bottle - Purple,Beauty & Fashion,2025-07,1,1.3,SMA(3),0.9
S34-PRSBT1-PURP,10ml Perfume Alcohol Spray Bottle - Purple,Beauty & Fashion,2025-08,1,1.3,SMA(3),0.9
S34-PRSBT1-PURP,10ml Perfume Alcohol Spray Bottle - Purple,Beauty & Fashion,2025-09,1,1.0,SMA(3),0.7
S34-PRSBT1-PURP,10ml Perfume Alcohol Spray Bottle - Purple,Beauty & Fashion,2025-10,2,1.0,SMA(3),1.9
S34-PRSBT1-PURP,10ml Perfume Alcohol Spray Bottle - Purple,Beauty & Fashion,2025-12,15,1.3,SMA(3),13.0
S34-PRSBT1-PURP,10ml Perfume Alcohol Spray Bottle - Purple,Beauty & Fashion,2026-01,1,6.0,SMA(3),0.3
S34-RFIDMC-PPUR,RFID Card Wallet with Money Clip - Plain Purple,Wallets & Cases,2025-07,4,4.0,SMA(3),3.7
S34-RFIDMC-PPUR,RFID Card Wallet with Money Clip - Plain Purple,Wallets & Cases,2025-08,7,4.3,SMA(3),6.8
S34-RFIDMC-PPUR,RFID Card Wallet with Money Clip - Plain Purple,Wallets & Cases,2025-09,2,4.3,SMA(3),2.2
S34-RFIDMC-PPUR,RFID Card Wallet with Money Clip - Plain Purple,Wallets & Cases,2025-10,3,4.3,SMA(3),2.9
S34-RFIDMC-PPUR,RFID Card Wallet with Money Clip - Plain Purple,Wallets & Cases,2025-11,5,4.0,SMA(3),4.7
S34-RFIDMC-PPUR,RFID Card Wallet with Money Clip - Plain Purple,Wallets & Cases,2025-12,16,3.3,SMA(3),16.8
S34-RFIDMC-PPUR,RFID Card Wallet with Money Clip - Plain Purple,Wallets & Cases,2026-01,6,8.0,SMA(3),5.5
S34-SLCAPD-MLR1,Silicone Case Bluetooth Earphones - 1st and 2nd Gen - Marshall,Wallets & Cases,2025-08,2,1.0,SMA(3),1.9
S34-SLCAPD-MLR1,Silicone Case Bluetooth Earphones - 1st and 2nd Gen - Marshall,Wallets & Cases,2025-09,1,1.3,SMA(3),0.9
S35-FOLTUM-GRAY,Foldable Silicone Tumbler - Gray,Home & Living,2025-08,1,1.0,SMA(3),1.0
S35-FOLTUM-GRAY,Foldable Silicone Tumbler - Gray,Home & Living,2025-12,1,1.0,SMA(3),1.0
S35-FOLTUM-LGRN,Foldable Silicone Tumbler - Light Green,Home & Living,2025-11,1,1.0,Naive,0.9
S35-RETRHL-PGN1,Retractable Highlighter - Pen - Neon Green,Stationery,2025-07,5,1.7,SMA(3),5.0
S35-RETRHL-PGN1,Retractable Highlighter - Pen - Neon Green,Stationery,2025-08,14,3.0,SMA(3),14.2
S35-RETRHL-PGN1,Retractable Highlighter - Pen - Neon Green,Stationery,2025-09,4,7.0,SMA(3),3.5
S35-RETRHL-PGN1,Retractable Highlighter - Pen - Neon Green,Stationery,2025-10,1,7.7,SMA(3),0.8
S35-RETRHL-PGN1,Retractable Highlighter - Pen - Neon Green,Stationery,2025-11,8,6.3,SMA(3),6.8
S35-RETRHL-PGN1,Retractable Highlighter - Pen - Neon Green,Stationery,2025-12,1,4.3,SMA(3),1.0
S35-RETRHL-PGN1,Retractable Highlighter - Pen - Neon Green,Stationery,2026-01,2,3.3,SMA(3),1.4
S35-RETRHL-POR1,Retractable Highlighter - Pen - Neon Orange,Stationery,2025-08,5,2.0,Naive,4.8
S35-RETRHL-POR1,Retractable Highlighter - Pen - Neon Orange,Stationery,2025-09,1,2.7,SMA(3),0.9
S35-RETRHL-POR1,Retractable Highlighter - Pen - Neon Orange,Stationery,2025-11,15,2.7,SMA(3),14.4
S35-RETRHL-POR1,Retractable Highlighter - Pen - Neon Orange,Stationery,2025-12,1,7.0,SMA(3),0.4
S35-RETRHL-PPK1,Retractable Highlighter - Pen - Neon Pink,Stationery,2025-07,10,2.0,SMA(3),9.9
S35-RETRHL-PPK1,Retractable Highlighter - Pen - Neon Pink,Stationery,2025-08,4,5.0,SMA(3),3.6
S35-RETRHL-PPK1,Retractable Highlighter - Pen - Neon Pink,Stationery,2025-09,1,6.0,SMA(3),1.0
S35-RETRHL-PPK1,Retractable Highlighter - Pen - Neon Pink,Stationery,2025-10,2,5.0,SMA(3),1.8
S35-RETRHL-PPK1,Retractable Highlighter - Pen - Neon Pink,Stationery,2025-11,8,2.3,SMA(3),8.1
S35-RETRHL-PPK1,Retractable Highlighter - Pen - Neon Pink,Stationery,2026-01,1,3.7,SMA(3),1.1
S35-RETRHL-PYW1,Retractable Highlighter - Pen - Neon Yellow,Stationery,2025-07,38,4.0,SMA(3),37.6
S35-RETRHL-PYW1,Retractable Highlighter - Pen - Neon Yellow,Stationery,2025-10,2,16.3,SMA(3),1.2
S35-RETRHL-PYW1,Retractable Highlighter - Pen - Neon Yellow,Stationery,2025-11,9,15.3,SMA(3),14.6
S35-RETRHL-PYW1,Retractable Highlighter - Pen - Neon Yellow,Stationery,2025-12,3,16.3,SMA(3),3.1
S35-RETRHL-PYW1,Retractable Highlighter - Pen - Neon Yellow,Stationery,2026-01,2,4.7,SMA(3),1.5
S35-SPFJKT-GRAY,Lightweight Freesize Sun Protection Jacket - Gray,Beauty & Fashion,2025-07,1,1.0,Naive,1.0
S35-SPFJKT-GRAY,Lightweight Freesize Sun Protection Jacket - Gray,Beauty & Fashion,2025-10,1,1.0,SMA(3),1.0
S35-SPFJKT-GRAY,Lightweight Freesize Sun Protection Jacket - Gray,Beauty & Fashion,2026-01,1,1.0,SMA(3),1.6
S35-SPFJKT-PINK,Lightweight Freesize Sun Protection Jacket - Pink,Beauty & Fashion,2026-01,1,1.0,Naive,1.0
S37-MLPPSS-BLCK,Multi-function Passport Holder Wallet with Simcard Slot - Black,Travel,2025-10,1,1.7,SMA(3),0.9
S37-MLPPSS-BLCK,Multi-function Passport Holder Wallet with Simcard Slot - Black,Travel,2025-11,1,1.0,SMA(3),0.9
S37-MLPPSS-BLCK,Multi-function Passport Holder Wallet with Simcard Slot - Black,Travel,2025-12,1,1.0,SMA(3),1.0
S37-MLPPSS-BLCK,Multi-function Passport Holder Wallet with Simcard Slot - Black,Travel,2026-01,2,1.0,SMA(3),1.9
S37-MLPPSS-BRWN,Multi-function Passport Holder Wallet with Simcard Slot - Brown,Travel,2025-07,1,1.3,SMA(3),1.0
S37-MLPPSS-BRWN,Multi-function Passport Holder Wallet with Simcard Slot - Brown,Travel,2025-09,1,1.0,SMA(3),0.9
S37-MLPPSS-BRWN,Multi-function Passport Holder Wallet with Simcard Slot - Brown,Travel,2025-11,1,1.0,SMA(3),0.9
