,,,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments,
,24060572M9YAGT,S10-WREPRP-DAIB,Wire Protector - Daisy Bottom,1,25.00,16,,
,24060572M9YAGT,S28-GRWBG2-LB03,Gardening Grow Bag Design 2 - Light Brown - 3 Gallon (25*22cm),4,45.00,33,,
,24060576WT8QP4,S28-GRWBG2-LB03,Gardening Grow Bag Design 2 - Light Brown - 3 Gallon (25*22cm),3,45.00,33,,
,24060579CD548P,S25-LDHAMP-LVDN,Laundry Hamper - Large Dark Blue Varying Dinosaurs,1,195.00,31,,
,2406057D00E77M,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,30,,
,2406057D7PE7XN,S20-SLCAPD-P2LK,Silicone Case Bluetooth Earphones - Pro 2nd Gen - Cliplock Style - Black,1,129.00,31,,
,2406057F701FS8,S32-FRNTOL-GRAY,Front Pocket Toiletry Organizer - Gray,1,249.00,32,,
,2406057GQA0J30,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,30,,
,2406057MKC2DGN,S26-RFIDMC-PLGN,RFID Card Wallet with Money Clip - Plain Green,1,239.00,30,,
,2406057PWGU8HQ,S25-LDHAMP-LVDN,Laundry Hamper - Large Dark Blue Varying Dinosaurs,1,195.00,31,,
,2406057PWGU8HQ,S21-LDHAMP-LCTV,Laundry Hamper - Large Construction Vehicles,1,199.00,30,,
,2406057XFRBVFF,S32-RETRHL-NPNK,Retractable Highlighter - Refill - Neon Pink,3,14.85,32,,
,2406057XFRBVFF,S32-RETRHL-NYLW,Retractable Highlighter - Refill - Neon Yellow ,3,14.85,32,,
,2406057XFRBVFF,S32-RETRHL-NORG,Retractable Highlighter - Refill - Neon Orange,3,14.85,32,,
,2406057XFRBVFF,S32-RETRHL-NGRN,Retractable Highlighter - Refill - Neon Green,3,14.85,32,,
,2406057Y5426WK,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,30,,
,24060584SW4MHF,S13-MNYCLP-SLVR,Money Clip Steel - Silver,2,39.00,31,,
,24060584SW4MHF,S13-MNYCLP-GOLD,Money Clip Steel - Gold,2,42.00,30,,
,24060585GB76C9,S31-COLTWL-GRAY,Microfiber Cooling Towel (30*80cm)  - Gray,1,25.00,33,,
,24060585GB76C9,S31-COLTWL-DGRY,Microfiber Cooling Towel (30*80cm)  - Dark Gray,1,25.00,33,,
,24060587B3V68R,S31-LMSWST-BN95,Plain Leather Magsafe Snap On Wallet with Stand - Brown 9.5,1,189.00,33,,
